File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0185-2022,,Resolution,Filed (End of Session),Committee on Education,Eric Dinowitz,8,"Resolution calling upon the New York State Department of Education to implement a robust requirement for civics education at the elementary, middle and high school level for all public schools in New York."
Int 0453-2022,,Introduction,Filed (End of Session),Committee on Oversight and Investigations,Keith Powers,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring officers and employees of city contractors to report corruption and to cooperate with the department of investigation"
Res 0188-2022,,Resolution,Filed (End of Session),Committee on Public Safety,Keith Powers,2,Resolution calling upon the President to establish an anti-Semitism task force.
Res 0187-2022,,Resolution,Filed (End of Session),Committee on Governmental Operations,Keith Powers,4,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, S.492/A.4128A, which would authorize boards of elections in New York State to establish absentee ballot drop-off locations."
Int 0450-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Keith Powers,7,"A Local Law to amend the administrative code of the city of New York, in relation to mold assessments in class A multiple dwellings"
Int 0447-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Robert F. Holden,4,"A Local Law to amend the administrative code of the city of New York, in relation to unlawful methods of restraint during an arrest or attempted arrest"
T2022-1451,,Oversight,Filed (End of Session),Committee on Transportation and Infrastructure,,0,Oversight - Managing the City’s Public Spac
Int 0434-2022,2023/070,Introduction,Enacted,Committee on Housing and Buildings,Pierina Ana Sanchez,28,"A Local Law to amend the administrative code of the city of New York, in relation to expanding the heat sensors program"
Int 0439-2022,2023/034,Introduction,Enacted,Committee on Public Safety,Nantasha M. Williams,21,"A Local Law to amend the New York city charter, in relation to requiring the mayor’s office of criminal justice to evaluate the performance of criminal justice programs that receive funding from the ci"
Int 0438-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Althea V. Stevens,13,"A Local Law to amend the administrative code of the city of New York, in relation to waiving parks permit fees for schools and child day care centers and providing an online system for school permit applications"
Int 0435-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Lynn C. Schulman,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of parks and recreation to charge senior citizens, young adults, active members of the military, veterans and their minor children and persons with disabilities reduced admission fees to recreational facilities"
Int 0440-2022,,Introduction,Filed (End of Session),Committee on Technology,Julie Won,15,"A Local Law to amend the New York city charter, in relation to a program to provide public access to wireless networks"
Int 0437-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Althea V. Stevens,10,A Local Law to amend the administrative code of the city of New York in relation to improving young adults’ access to voter registration materials by requiring the department of education of the city of New York and the board of elections of the city of New York to provide students with registration materials in appropriate languages and to track and report on the efficacy of distributing registration materials to studen
Int 0436-2022,2023/033,Introduction,Enacted,Committee on General Welfare,Althea V. Stevens,14,"A Local Law to amend the administrative code of the city of New York, in relation to creating a juvenile justice advisory board, and to repeal section 619 of chapter 24-b of the New York city charter in relation thereto"
Int 0441-2022,,Introduction,Filed (End of Session),Committee on Technology,Julie Won,15,"A Local Law to amend the New York city charter, in relation to a public review of electronic services developed by city agencies"
Int 0421-2022,2023/026,Introduction,Enacted,Committee on General Welfare,Kevin C. Riley,19,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of homeless services to report on families with children"
Res 0167-2022,,Resolution,Adopted,Committee on Sanitation and Solid Waste Management,Sandy Nurse,25,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, S237, legislation to amend the environmental conservation law, in relation to returnable bottles."
Int 0416-2022,,Introduction,Filed (End of Session),Committee on Fire and Emergency Management,Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the city of New York, in relation to establishing an emergency student food plan"
Int 0432-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,"Rafael Salamanca, Jr.",6,"A Local Law to amend the administrative code of the city of New York, in relation to remediating lead soil hazards in dwellings"
Int 0431-2022,2023/049,Introduction,Enacted,Committee on General Welfare,"Rafael Salamanca, Jr.",10,"A Local Law to amend the administrative code of the city of New York, in relation to customer service training for shelter personnel of the department of homeless services and its contractors"
Res 0166-2022,,Resolution,Filed (End of Session),Committee on Small Business,Julie Menin,7,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, a temporary tax holiday suspending sales tax to boost sales for small businesses across New York City."
Int 0413-2022,,Introduction,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Sandy Nurse,17,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a tracking system concerning the disposal of yellow and brown grease"
Int 0412-2022,,Introduction,Filed (End of Session),Committee on Education,Francisco P. Moya,8,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report the number of individualized education programs that are translated"
Int 0433-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,"Rafael Salamanca, Jr.",5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring towed vehicle storage facilities to provide 24 hour access"
Int 0424-2022,,Introduction,Filed (End of Session),Committee on Education,Carlina Rivera,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report on humane animal treatment instruction"
Int 0419-2022,,Introduction,Filed (End of Session),Committee on General Welfare,Kristin Richardson Jordan,14,"A Local Law to amend the administrative code of the city of New York, in relation to the division of AIDS services"
Int 0426-2022,,Introduction,Filed (End of Session),Committee on Hospitals,Carlina Rivera,5,"A Local Law to amend the administrative code of the city of New York, in relation to visitation policy guidelines for hospitals during public health emergencies"
Int 0427-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Carlina Rivera,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring landlords of housing accommodations controlled, subsidized or both by the department of housing preservation and development to report rental payment data to consumer reporting agencies upon tenant request"
Int 0418-2022,,Introduction,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Kristin Richardson Jordan,12,A Local Law in relation to the establishment of a drag laureate program
Int 0420-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Kristin Richardson Jordan,16,"A Local Law to amend the administrative code of the city of New York, in relation to fees for the installation of solar power energy systems"
Int 0429-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Carlina Rivera,4,A Local Law in relation to requiring the police department to report on vehicles towed due to registration-related violations
Int 0411-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Julie Menin,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring rulemaking to register community gardens on privately-owned vacant lots"
Int 0422-2022,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Carlina Rivera,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring covered entities to maintain a record of requests from persons requesting a reasonable accommodation"
Int 0415-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Keith Powers,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a study of dangerous driving"
Int 0428-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Carlina Rivera,9,"A Local Law to amend the administrative code of the city of New York, in relation to providing tenants the option of paying a security deposit in six equal monthly installments"
Res 0170-2022,,Resolution,Filed (End of Session),Committee on Civil Service and Labor,Carlina Rivera,6,"Resolution calling on the United States Congress to pass, and the President to sign, legislation that would ensure that domestic workers receive the same protections and rights under the Occupational Safety and Health Act of 1970 as other workers."
Res 0168-2022,,Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Public Advocate Jumaane Williams,1,"Resolution calling on the New York State Legislature to introduce and pass, and the Governor to sign, legislation requiring motor vehicles sold in New York State to be equipped with a functioning rear seat detection system that can detect the presence of an occupant in a rear designated seating position after the vehicle engine or motor is deactivated, and automatically provide the driver with a warning alert"
Int 0430-2022,,Introduction,Filed (End of Session),Committee on Hospitals,Carlina Rivera,7,A Local Law in relation to a study by the department of health and mental hygiene on the causes of rising wait times in emergency departments
Res 0171-2022,,Resolution,Filed (End of Session),Committee on Health,Carlina Rivera,5,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, an act to amend the insurance law in relation to requiring that provision be made for pregnancy termination procedures in every individual or group policy or contract which provides coverage or indemnity for hospital, surgical or medical care and which offers maternity care coverage."
Int 0423-2022,,Introduction,Filed (End of Session),Committee on Civil Service and Labor,Carlina Rivera,7,A Local Law in relation to creating a pilot program providing freelance workers and domestic workers with safety training and information
Int 0425-2022,,Introduction,Filed (End of Session),Committee on Health,Carlina Rivera,8,"A Local Law to amend the administrative code of the city of New York, in relation to a campaign by the department of health and mental hygiene to increase awareness of and enrollment in health insurance by low-wage workers, and reporting in relation thereto"
Int 0395-2022,,Introduction,Filed (End of Session),Committee on Fire and Emergency Management,Robert F. Holden,13,"A Local Law to amend the administrative code of the city of New York, in relation to raising the maximum age to apply to become a firefighter"
Int 0387-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Robert F. Holden,4,"A Local Law to amend the administrative code of the city of New York, in relation to door to door commercial solicitations"
Int 0394-2022,,Introduction,Filed (End of Session),Committee on Veterans,Robert F. Holden,6,"A Local Law to amend the New York city charter, in relation to requiring each community board to establish a veterans committee"
Int 0388-2022,,Introduction,Filed (End of Session),Committee on General Welfare,Robert F. Holden,11,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the Department of Homeless Services to report information regarding veterans entering and exiting shelter"
Int 0400-2022,,Introduction,Filed (End of Session),Committee on Health,Rita C. Joseph,17,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a warming centers program"
Int 0405-2022,,Introduction,Filed (End of Session),Committee on Land Use,Farah N. Louis,1,"A Local Law to amend the New York city charter, in relation to creating an online posting requirement for statements outlining consistency or inconsistency with criteria established for the siting of city facilities"
Int 0397-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Robert F. Holden,3,"A Local Law to amend the administrative code of the city of New York, in relation to building permit classifications and certificate of occupancy requirements"
Res 0164-2022,,Resolution,Adopted,Committee on Education,Linda Lee,39,Resolution calling upon the New York City Department of Education to establish Diwali as an official holiday for New York City public school students
Res 0163-2022,,Resolution,Filed (End of Session),Committee on Education,Linda Lee,25,"Resolution calling upon the New York State Legislature to pass and the Governor to sign S.6359/A.7260, to require public elementary and high schools to provide instruction in Asian American history and civic impact."
Int 0392-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,6,"A Local Law to amend the administrative code of the city of New York, in relation to improving the flow of traffic during street construction"
Int 0410-2022,,Introduction,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Christopher Marte,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring that notices of violation issued by the department of sanitation be accompanied by a photograph of the alleged violation"
Int 0401-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Rita C. Joseph,18,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the installation of speed humps on roadways adjacent to any park equal or greater than one acre"
Int 0402-2022,,Introduction,Filed (End of Session),Committee on Youth Services,Rita C. Joseph,19,"A Local Law to amend the administrative code of the city of New York, in relation to a universal summer youth program plan"
Int 0399-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Rita C. Joseph,17,"A Local Law to amend the administrative code of the city of New York, in relation to the sale and use of diesel-powered leaf blowers and lawn mowers"
Int 0398-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Robert F. Holden,11,"A Local Law to amend the administrative code of the city of New York, in relation to requiring that law enforcement officers responding to noise complaints carry sound level meters"
Int 0396-2022,,Introduction,Filed (End of Session),Committee on Health,Robert F. Holden,6,"A Local Law to amend the administrative code of the city of New York, in relation to remediating lead water hazards in schools and facilities providing day care services"
Int 0393-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,8,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting certain commercial establishments from parking vehicles on city streets"
Int 0390-2022,,Introduction,Filed (End of Session),Committee on Health,Robert F. Holden,8,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting new smoking paraphernalia retailer dealers near schools"
Int 0389-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Robert F. Holden,2,"A Local Law to amend the administrative code of the city of New York, in relation to spending by foreign nationals and foreign-influenced entities in connection with city elections"
Int 0403-2022,2023/048,Introduction,Enacted,Committee on Education,Rita C. Joseph,32,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to distribute IDNYC applications to all high school students"
Int 0391-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Robert F. Holden,6,A Local Law in relation to the creation of an interagency derelict housing and neglected property task force
Int 0406-2022,,Introduction,Withdrawn,Committee on Public Safety,Farah N. Louis,1,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a missing person alert system"
Res 0165-2022,,Resolution,Adopted,Committee on Women and Gender Equity,Farah N. Louis,11,"Resolution calling on the State Legislature to pass, and the Governor to sign, A.2583/S.15, authorizing certain shelters for victims of domestic violence to be reimbursed for any payment differential for housing a single individual in a room intended for double occupancy"
Int 0407-2022,,Introduction,Withdrawn,Committee on Public Safety,Farah N. Louis,1,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to requiring the civilian complaint review board to conduct an investigation of any injury or death caused by police action"
Int 0408-2022,,Introduction,Withdrawn,Committee on Public Safety,Farah N. Louis,1,"A Local Law to amend the administrative code of the city of New York, in relation to the police department’s 911 operational time analysis repo"
Int 0376-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Diana I. Ayala,6,A Local Law in relation to establishing a temporary task force on pay parity for public defenders and assistant district attorneys with city agency attorneys
Int 0374-2022,,Introduction,Filed (End of Session),Committee on Finance,Diana I. Ayala,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the development of a single application form for the not-for-profit real property tax exemption and the not-for-profit exemption from water and sewer charges"
Int 0380-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Joseph C. Borelli,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of parks and recreation to notify property owners in writing of their sidewalk rating in the trees and sidewalks program"
Int 0379-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Joseph C. Borelli,3,A Local Law in relation to the creation of a task force to study and report on the feasibility of an independent city of Staten Island
Int 0378-2022,,Introduction,Filed (End of Session),Committee on Finance,Joseph C. Borelli,4,"A Local Law to amend the administrative code of the city of New York, in relation to requiring cost and schedule signage at capital project sites"
Int 0381-2022,,Introduction,Filed (End of Session),Committee on Finance,Joseph C. Borelli,4,A Local Law to create a task force to reform the capital construction process
Int 0377-2022,,Introduction,Filed (End of Session),Committee on Finance,Joseph C. Borelli,7,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a real property tax exemption for Cold War veterans"
Int 0375-2022,2023/025,Introduction,Enacted,Committee on Housing and Buildings,Diana I. Ayala,14,"A Local Law to amend the administrative code of the city of New York, in relation to reporting on the results of lotteries administered by the department of housing preservation and development for affordable housing units for tenants with disabilities"
Int 0382-2022,2023/008,Introduction,Enacted,Committee on Governmental Operations,Gale A. Brewer,23,"A Local Law to amend the administrative code of the city of New York, in relation to requiring certain agencies to publish guidance on responding to settlement offers, translate such guidance into the designated citywide languages, and notify settlement offer recipients about such guidance"
Int 0386-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Tiffany Cabá,28,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to submit reports on complaints of police misconduct"
Int 0384-2022,2023/125,Introduction,Enacted,Committee on Housing and Buildings,Selvena N. Brooks-Powers,14,"A Local Law to amend the New York city charter, in relation to the creation of an office of the homeowner advocate within the department of housing preservation and development"
Int 0373-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Alexa Avilé,7,"A Local Law to amend the administrative code of the city of New York, in relation to outreach and education about free public services"
Res 0161-2022,,Resolution,Filed (End of Session),Committee on Housing and Buildings,Shahana K. Hanif,21,"Resolution calling upon the New York State Legislature to pass and the Governor to sign A.9802/S.8783, in relation to establishing a program to address the legalization of specified accessory dwelling units in a city with a population of one million or more."
Int 0385-2022,,Introduction,Filed (End of Session),Committee on Criminal Justice,Tiffany Cabá,20,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to report programming and fiscal information"
Int 0353-2022,,Introduction,Filed (End of Session),Committee on Oversight and Investigations,Lincoln Restler,20,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of investigation to investigate allegations of evidentiary misconduct by police officers"
Int 0364-2022,,Introduction,Filed (End of Session),Committee on Small Business,"Rafael Salamanca, Jr.",7,"A Local Law to amend the administrative code of the city of New York, in relation to posting contact information for workforce career centers at city development projects"
Int 0365-2022,,Introduction,Filed (End of Session),Committee on Criminal Justice,Althea V. Stevens,25,"A Local Law to amend the administrative code of the city of New York, in relation to the provision of mental health services for children visiting incarcerated individuals"
Int 0361-2022,,Introduction,Filed (End of Session),Committee on Hospitals,"Rafael Salamanca, Jr.",2,A Local Law in relation to authorizing the use of temporary outdoor heaters by healthcare facilities
Int 0356-2022,,Introduction,Filed (End of Session),Committee on Criminal Justice,Carlina Rivera,23,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a program for child visitors of department of correction facilities"
Int 0357-2022,,Introduction,Filed (End of Session),Committee on Criminal Justice,Carlina Rivera,23,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to use an electronic case management system to track investigations of sexual abuse"
Res 0156-2022,,Resolution,Adopted,Committee on Criminal Justice,Carlina Rivera,17,"Resolution calling on the New York State Legislature to pass, and the Governor to sign the Treatment Not Jail Act (S1976A/A1263A), which would amend Criminal Procedure Law Article 216 of the judicial diversion law in order to expand eligibility for treatment for court-involved individuals and shift the presumption from incarceration to community support"
Int 0362-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,"Rafael Salamanca, Jr.",9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of housing preservation and development to report on the disposition of city property for affordable housing development"
Int 0348-2022,2023/168,Introduction,Enacted,Committee on Governmental Operations,Keith Powers,12,"A Local Law to amend the administrative code of the city of New York, in relation to classifying credit card processing fees and bank fees as exempt expenditures"
Int 0346-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Keith Powers,7,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of an interactive zoning lot map"
Int 0345-2022,,Introduction,Filed (End of Session),Committee on Finance,Chi A. Oss�,3,"A Local Law to amend the administrative code of the city of New York, in relation to appropriation of funds for the operation and maintenance of the library systems"
Int 0363-2022,,Introduction,Filed (End of Session),Committee on Public Safety,"Rafael Salamanca, Jr.",3,"A Local Law to amend the administrative code of the city of New York, in relation to requiring reports on police department response times to minor traffic crashes"
Int 0355-2022,,Introduction,Filed (End of Session),Committee on Criminal Justice,Carlina Rivera,17,"A Local Law to amend the administrative code of the city of New York, in relation to permitting incarcerated individuals in city jails to choose the gender of their doctor"
Int 0360-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Carlina Rivera,21,"A Local Law to amend the administrative code of the city of New York, in relation to abolishing the criminal group database and prohibiting the establishment of a successor database"
Int 0354-2022,,Introduction,Filed (End of Session),Committee on Education,Kevin C. Riley,19,"A Local Law to amend the administrative code of the city of New York, in relation to establishing an office of continuing education and adult literacy"
Int 0358-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Carlina Rivera,4,"A Local Law to amend the New York city charter, in relation to creating expedited processing of FOIL requests to professional journalists"
Int 0371-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Kalman Yeger,3,"A Local Law to amend the New York city charter, in relation to the reporting of revenue from the issuance of violations and the imposition of related fines"
Int 0352-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Lincoln Restler,17,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the registration of vacant commercial and residential properties"
Int 0370-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Inna Vernikov,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to report annually on officer resignations prior to becoming eligible for retirement with pension"
Int 0366-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Marjorie Velázque,6,"A Local Law to amend the administrative code, in relation to requiring the department of consumer and worker protection to report on public use of the department’s financial empowerment centers and student debt distress in the ci"
Int 0368-2022,,Introduction,Filed (End of Session),Committee on Technology,Marjorie Velázque,7,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a city food delivery mobile application"
Int 0367-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Marjorie Velázque,14,"A Local Law to amend the New York city charter, in relation to establishing an office of pandemic preparedness"
Int 0369-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Marjorie Velázque,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the installation of reflective material on bollards, curbs, posts, and roundabouts"
Int 0349-2022,2023/138,Introduction,Enacted,Committee on Criminal Justice,Public Advocate Jumaane Williams,19,"A Local Law to amend the administrative code of the city of New York, in relation to dyslexia screening in city jails and referrals to evidence-based programs"
Int 0351-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a task force to assess safety risks at construction sites"
Res 0157-2022,,Resolution,Filed (End of Session),Committee on Health,Lynn C. Schulman,8,Resolution calling upon the United States Food and Drug Administration to require warning labels on sugar sweetened beverages
Int 0350-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the city of New York, in relation to private water and sewer pipelines"
Int 0359-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Carlina Rivera,4,"A Local Law to amend the administrative code of the city of New York, in relation to reporting on surveillance data"
Int 0339-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Christopher Marte,10,"A Local Law to amend the New York city charter, in relation to the establishment and development of school gardens"
Int 0337-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Crystal Hudson,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of housing preservation and development to provide annual lists of open housing maintenance code violations to multiple dwelling occupants and tenants"
Int 0340-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Christopher Marte,11,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of transportation to install bilingual street name signs"
Int 0342-2022,,Introduction,Filed (End of Session),Committee on Economic Development,Julie Menin,8,"A Local Law to amend the New York city charter, in relation to an office of interagency tourism affairs"
Int 0344-2022,,Introduction,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Chi A. Oss�,5,"A Local Law to amend the administrative code of the city of New York, in relation to the investigating, reviewing, studying, and auditing of and making of recommendations relating to the operations, budget, and staffing of the New York Public Library, the Brooklyn Public Library and the Queens Public Library by the commissioner of investigation"
Int 0341-2022,,Introduction,Filed (End of Session),Committee on Small Business,Julie Menin,15,"A Local Law to amend the administrative code of the city of New York, in relation to accessibility in small businesses"
Int 0343-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Mercedes Narcisse,5,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the issuance of multiple bus lane violation tickets for the same infraction within a one hour period"
Int 0338-2022,,Introduction,Filed (End of Session),Committee on Education,Rita C. Joseph,11,A Local Law in relation to establishing a bullying prevention task force
Int 0334-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,3,"A Local Law to amend the administrative code of the city of New York, in relation to the requirements for maintenance of a civil action against the city for damages or injuries sustained in consequence of unsafe conditions on streets, sidewalks or similar public spaces"
Int 0324-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Justin L. Brannan,4,"A Local Law to amend the administrative code of the city of New York, in relation to the distance between parking signs"
Int 0318-2022,,Introduction,Filed (End of Session),Committee on Finance,Justin L. Brannan,3,"A Local Law to amend the New York city charter, in relation to the establishment of a charitable gifts reserve fund"
Int 0317-2022,,Introduction,Filed (End of Session),Committee on Finance,Justin L. Brannan,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring monthly reports on scheduled construction work on capital projects"
Int 0316-2022,,Introduction,Filed (End of Session),Committee on Finance,Justin L. Brannan,10,"A Local Law to amend the administrative code of the city of New York, in relation to reporting on contract awards made from discretionary funds allocated by a council member"
Int 0335-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,4,"A Local Law to amend the administrative code of the city of New York, in relation to suspending alternate side of the street parking when there is at least four inches of snow"
Int 0305-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Diana I. Ayala,10,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the New York City police department and district attorneys to report on the investigation and prosecution of domestic violence and certain known victim offenses"
Int 0312-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Erik D. Bottcher,28,"A Local Law to amend the administrative code of the city of New York, in relation to increasing certain penalties for excessive noise from motor vehicles"
Int 0313-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Justin L. Brannan,9,"A Local Law to amend the charter of the city of New York, in relation to requiring the office of nightlife to post information on its website for nightlife establishments, including resources and trainings about harassment among patrons"
Int 0323-2022,,Introduction,Filed (End of Session),Committee on Small Business,Justin L. Brannan,7,A Local Law in relation to the creation of a retail resurgence taskforce
Int 0306-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Diana I. Ayala,12,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the police department from collecting DNA from a minor without consent from a parent, legal guardian or attorney"
Int 0314-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Justin L. Brannan,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring nightlife establishments to post signage informing patrons about harassment and to train employees about harassment among patrons"
Int 0327-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Gale A. Brewer,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring increased transparency regarding the sale of housing development fund company units"
Int 0321-2022,,Introduction,Filed (End of Session),Committee on Health,Justin L. Brannan,7,"A Local Law to amend the administrative code of the city of New York, in relation to the promotion of health and safety at nail salons"
Int 0332-2022,,Introduction,Filed (End of Session),Committee on Health,Robert F. Holden,2,"A Local Law to amend the administrative code of the city of New York, in relation to guidance to private employers and the public in the event of a highly transmissible disease emergency"
Int 0330-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",James F. Gennaro,13,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the creation of a database of subsurface conditions to support better engineering of geothermal heat pumps."
Int 0336-2022,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,14,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the parks department to repair damage caused by trees owned by the city of New York"
Int 0322-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Justin L. Brannan,10,"A Local Law to amend the administrative code of the city of New York, in relation to the installation of protective devices for seniors and persons with a disability who reside in multiple dwellings, and the provision of a tax abatement for certain related installations"
Int 0304-2022,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Diana I. Ayala,13,"A Local Law to amend the administrative code of the city of New York, in relation to requiring parks enforcement patrol officers to be equipped with opioid antagonists"
Int 0320-2022,,Introduction,Filed (End of Session),Committee on Health,Justin L. Brannan,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to provide license and permit expiration notifications electronically"
Int 0319-2022,,Introduction,Filed (End of Session),Committee on Health,Justin L. Brannan,10,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to make automated external defibrillators available to primary, intermediate and high schools that do not already receive such devices under any other provision of law"
Int 0326-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Justin L. Brannan,7,"A Local Law to amend the New York city charter, in relation to the voter assistance advisory committee providing interpreters and materials in Arabic"
Res 0153-2022,,Resolution,Adopted,Committee on Education,Shaun Abreu,34,Resolution calling upon the Department of Education to create a Jewish Heritage Day in New York City public schools.
